Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
55	0.42	2.703605	-391.181152	999.624268	58.697826	-384.856232	1003.765381	-20.950083	-366.869843	955.361389	32.66608	-360.88678	959.421936	30.090061	-294.082703	860.256531	264.498077	-446.728607	1192.473145	266.050415	-471.946625	1167.980957	242.129471	-394.407776	1205.061157	247.127396	-484.051514	1121.12146	225.233871	-404.95932	1159.200195
56	0.43	2.70785	-391.179871	999.625488	58.702152	-384.856476	1003.764587	-20.945637	-366.868652	955.361816	32.670086	-360.885529	959.422058	30.092556	-294.082001	860.255798	264.485779	-446.743927	1192.468506	266.038513	-471.961365	1167.975098	242.115601	-394.416931	1205.062744	247.119858	-484.059479	1121.110596	225.225052	-404.982208	1159.1875
57	0.44	2.712116	-391.178528	999.626709	58.706493	-384.856659	1003.763733	-20.941183	-366.867432	955.362244	32.674107	-360.884247	959.422119	30.095053	-294.081299	860.255005	264.47464	-446.758667	1192.460449	266.028351	-471.975128	1167.965332	242.102234	-394.425751	1205.062134	247.114365	-484.067139	1121.096191	225.215744	-405.005646	1159.171753
58	0.45	2.716402	-391.177185	999.62793	58.710857	-384.856781	1003.762939	-20.936724	-366.866211	955.362732	32.678143	-360.882965	959.42218	30.097551	-294.080566	860.254272	264.46463	-446.773071	1192.448486	266.019836	-471.988068	1167.951172	242.08931	-394.43457	1205.058838	247.110962	-484.074585	1121.077881	225.205826	-405.029755	1159.15271
59	0.46	2.720708	-391.175812	999.62915	58.715244	-384.856873	1003.762085	-20.932257	-366.86499	955.363159	32.68219	-360.881683	959.422302	30.100054	-294.079834	860.253479	264.455719	-446.787354	1192.432617	266.013031	-472.000366	1167.932617	242.076706	-394.443726	1205.052979	247.109619	-484.08194	1121.05542	225.195175	-405.054749	1159.130371
60	0.47	2.725035	-391.174408	999.63031	58.719646	-384.856934	1003.76123	-20.927782	-366.863739	955.363586	32.686253	-360.880341	959.422302	30.102556	-294.079071	860.252686	264.447815	-446.801788	1192.412476	266.007874	-472.012238	1167.909058	242.064301	-394.453583	1205.044067	247.110336	-484.089294	1121.028442	225.183655	-405.080811	1159.104492
61	0.48	2.729382	-391.173004	999.63147	58.724068	-384.856903	1003.760437	-20.9233	-366.862488	955.364014	32.690327	-360.878998	959.422363	30.105062	-294.078339	860.251892	264.440887	-446.816589	1192.387573	266.004303	-472.023865	1167.880249	242.051971	-394.464478	1205.032104	247.113083	-484.096832	1120.996582	225.171143	-405.108185	1159.074829
62	0.49	2.73375	-391.171539	999.632629	58.728512	-384.856873	1003.759521	-20.91881	-366.861237	955.36438	32.694416	-360.877655	959.422363	30.107573	-294.077576	860.251038	264.434814	-446.832031	1192.357788	266.002319	-472.035431	1167.845703	242.039551	-394.476746	1205.016724	247.117813	-484.104584	1120.959351	225.157455	-405.137024	1159.041382
63	0.5	2.738138	-391.170074	999.633789	58.732975	-384.85675	1003.758667	-20.914314	-366.859955	955.364807	32.698521	-360.876282	959.422363	30.110085	-294.076813	860.250244	264.429504	-446.848328	1192.322754	266.001831	-472.047119	1167.80542	242.026871	-394.490753	1204.997681	247.124512	-484.112671	1120.916504	225.142471	-405.167542	1159.003784
64	0.51	2.742546	-391.168579	999.634949	58.737457	-384.856628	1003.757813	-20.909811	-366.858673	955.365234	32.702637	-360.874878	959.422363	30.112598	-294.076019	860.24939	264.424835	-446.865753	1192.282227	266.002808	-472.059143	1167.758667	242.013718	-394.506866	1204.974731	247.133102	-484.121185	1120.867554	225.125992	-405.199951	1158.962036
65	0.52	2.746975	-391.167023	999.636047	58.741962	-384.856445	1003.756897	-20.9053	-366.857361	955.365601	32.706768	-360.873474	959.422363	30.115114	-294.075226	860.248535	264.420715	-446.884521	1192.235962	266.005127	-472.071655	1167.705322	241.999893	-394.525452	1204.947754	247.143509	-484.130249	1120.812256	225.107864	-405.234467	1158.915771
66	0.53	2.751424	-391.165497	999.637146	58.746483	-384.856201	1003.756042	-20.900782	-366.856079	955.365967	32.710911	-360.87207	959.422302	30.117634	-294.074432	860.247681	264.416962	-446.904938	1192.183472	266.008728	-472.084839	1167.64502	241.985153	-394.546814	1204.916504	247.15567	-484.139893	1120.75	225.087875	-405.27121	1158.86499
67	0.54	2.755894	-391.16391	999.638245	58.751026	-384.855927	1003.755127	-20.896255	-366.854736	955.366394	32.715069	-360.870605	959.422302	30.120155	-294.073639	860.246765	264.413422	-446.927185	1192.124634	266.013519	-472.098907	1167.577271	241.969238	-394.571381	1204.880737	247.169464	-484.150208	1120.680542	225.065857	-405.310486	1158.809448
68	0.55	2.760385	-391.162292	999.639343	58.755589	-384.855591	1003.754211	-20.891722	-366.853424	955.36676	32.719242	-360.869141	959.42218	30.122679	-294.072815	860.24585	264.409973	-446.951538	1192.059082	266.019318	-472.114044	1167.501953	241.951889	-394.599487	1204.84021	247.184814	-484.161316	1120.603516	225.041595	-405.352386	1158.749023
69	0.56	2.764896	-391.160675	999.640381	58.76017	-384.855194	1003.753296	-20.88718	-366.852081	955.367126	32.723427	-360.867676	959.422119	30.125206	-294.071991	860.244934	264.406372	-446.97821	1191.986694	266.026062	-472.130402	1167.418701	241.932816	-394.631439	1204.794678	247.201584	-484.173218	1120.518555	225.014893	-405.397156	1158.683594
70	0.57	2.769428	-391.159027	999.641479	58.764774	-384.854797	1003.752319	-20.882633	-366.850739	955.367493	32.727627	-360.86618	959.422058	30.127735	-294.071167	860.244019	264.402466	-447.007477	1191.906982	266.033569	-472.148193	1167.327026	241.911682	-394.667694	1204.744141	247.21965	-484.186005	1120.425293	224.985504	-405.444977	1158.612793
71	0.58	2.77398	-391.157318	999.642517	58.769398	-384.854309	1003.751404	-20.878078	-366.849365	955.367859	32.731842	-360.864685	959.421936	30.130266	-294.070343	860.243103	264.39801	-447.039551	1191.819824	266.041687	-472.167542	1167.226807	241.888168	-394.708496	1204.68811	247.238861	-484.199768	1120.323242	224.953217	-405.496033	1158.536743
72	0.59	2.778553	-391.15564	999.643555	58.77404	-384.853821	1003.750427	-20.873514	-366.847992	955.368225	32.736069	-360.863159	959.421814	30.132801	-294.069489	860.242126	264.392792	-447.074677	1191.724976	266.050232	-472.18866	1167.117798	241.861923	-394.754272	1204.626587	247.259079	-484.214508	1120.212158	224.917801	-405.550476	1158.455078
73	0.6	2.783147	-391.1539	999.644531	58.778706	-384.853241	1003.749512	-20.868944	-366.846619	955.36853	32.740311	-360.861603	959.421631	30.135338	-294.068634	860.241211	264.386536	-447.113068	1191.622192	266.059021	-472.211731	1166.999512	241.832596	-394.805298	1204.559326	247.280121	-484.230316	1120.091797	224.878998	-405.608521	1158.36792
74	0.61	2.787761	-391.15213	999.645569	58.783386	-384.852661	1003.748535	-20.864367	-366.845215	955.368896	32.744568	-360.860046	959.421509	30.137877	-294.06778	860.240234	264.379059	-447.154938	1191.51123	266.067871	-472.236877	1166.871826	241.799789	-394.861969	1204.486206	247.301804	-484.247253	1119.96167	224.836594	-405.670288	1158.27478
